0,0.5,0.5,0.5,0.5,0.5,0.5,0.91,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.98,0.5,0.5,0.5,0.5,0.5,0.49,0.97,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.98,0.9,0.95,0.5,0.5,0.96,0.5,0.5,0.98,0.5,0.97,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.94,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.98,0.5,0.5,0.5,0.5,0.5,0.98,0.5,0.89,0.5,0.5,0.5,0.95,0.5,0.5,0.5
1,0.59,0.91,0.53,0.66,0.79,0.79,0.83,0.91,0.98,0.52,0.73,0.8,0.82,0.95,0.87,0.87,0.68,0.88,0.89,0.91,0.5,0.76,0.6,0.83,0.5,0.84,0.74,0.64,0.66,0.81,0.88,0.89,0.98,0.85,0.71,0.66,0.81,0.47,0.78,0.85,0.5,0.67,0.71,0.72,0.85,0.76,0.88,0.89,0.5,0.79,0.99,0.92,0.75,0.87,0.79,0.71,0.88,0.79,0.76,0.84,0.85,0.92,0.88,0.73,0.79,0.89,0.5,0.8,0.95,0.5,0.61,0.87,0.84,0.64,0.87,0.86,0.99,0.79,0.86,0.81,0.5,0.88,0.9,0.81,0.73,0.87,0.9,0.77,0.85,0.96,0.87,0.83,0.89,0.88,0.58,0.88,0.7,0.69,0.75,0.92
2,0.57,0.59,0.85,0.97,0.95,0.54,0.85,0.87,0.84,0.76,0.91,0.79,0.98,0.5,0.55,0.5,0.63,0.98,0.62,0.69,0.5,0.5,0.69,0.89,0.85,0.64,0.69,0.56,0.5,0.61,0.97,0.88,0.64,0.53,0.5,0.5,0.88,0.86,0.68,0.5,0.5,0.5,0.94,0.58,0.5,0.59,0.5,0.52,0.5,0.9,0.74,0.5,0.5,0.67,0.56,0.89,0.84,0.87,0.78,0.6,0.9,0.49,0.69,0.91,0.5,0.5,0.88,0.9,0.74,0.5,0.5,0.8,0.9,0.5,0.5,0.59,0.89,0.87,0.86,0.93,0.51,0.83,0.69,0.8,0.5,0.67,0.47,0.48,0.79,0.57,0.77,0.82,0.93,0.95,0.5,0.77,0.92,0.86,0.69,0.92
3,0.66,0.47,0.95,0.5,0.92,0.45,0.89,0.51,0.52,0.88,0.76,0.79,0.88,0.59,0.94,0.86,0.9,0.5,0.5,0.61,0.72,0.65,0.5,0.99,0.98,0.81,0.92,0.64,0.93,0.93,0.41,0.97,0.94,0.55,0.93,0.5,0.73,0.5,0.7,0.55,0.5,0.54,0.99,0.7,0.92,0.87,0.88,0.96,0.88,0.82,0.92,0.92,0.97,0.67,0.87,0.78,0.89,0.87,0.72,0.5,0.5,0.94,0.5,0.57,0.72,0.89,0.84,0.75,0.51,0.9,0.77,0.5,0.85,0.58,0.5,0.77,0.7,0.83,0.94,0.52,0.86,0.59,0.77,0.5,0.52,0.89,0.89,0.84,0.81,0.85,0.94,0.65,0.5,0.5,0.76,0.86,0.55,0.9,0.91,0.91
4,0.5,0.95,0.5,0.5,0.5,0.5,0.9,0.41,0.6,0.5,0.5,0.95,0.48,0.49,0.48,0.5,0.9,0.76,0.5,0.97,0.46,0.93,0.86,0.5,0.98,0.47,0.97,0.5,0.47,0.5,0.47,0.5,0.5,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.89,0.49,0.49,0.49,0.45,0.99,0.92,0.52,0.5,0.5,0.5,0.5,0.48,0.45,0.5,0.5,0.5,0.8,0.94,0.5,0.5,0.5,0.51,0.83,0.49,0.5,0.5,0.51,0.98,0.5,0.47,0.91,1.0,0.5,0.98,0.48,0.48,0.45,0.49,0.5,0.96,0.49,0.5,0.5,0.96,0.43,0.5,0.5,0.98,0.49,0.5,0.48,0.5,0.94,0.5
5,0.93,0.5,0.64,0.87,0.86,0.72,0.89,0.95,0.78,0.83,0.63,0.5,0.5,0.75,0.86,0.75,0.98,0.98,0.95,0.83,0.51,0.97,0.93,0.66,0.49,0.89,0.83,0.97,0.85,0.95,0.5,0.68,0.89,0.5,0.93,0.84,0.68,0.91,0.5,0.98,0.67,0.73,0.96,0.56,0.89,0.45,0.77,0.9,0.78,0.82,0.86,0.91,0.86,0.78,0.7,0.68,0.55,0.81,0.83,0.5,0.64,0.5,0.95,0.85,0.95,0.89,0.96,0.92,0.46,0.75,0.91,0.91,0.94,0.9,0.83,0.81,0.5,0.99,0.94,0.73,0.84,0.96,0.87,0.75,0.81,0.5,0.7,0.93,0.45,0.79,0.94,0.5,0.5,0.5,0.86,0.98,0.93,0.5,0.53,0.86
6,0.62,0.98,0.51,0.88,0.61,0.47,0.92,0.5,0.54,0.5,0.49,0.6,0.52,0.45,0.5,0.54,0.5,0.92,0.58,0.84,0.97,0.51,0.89,0.77,0.76,0.7,0.5,0.57,0.54,0.88,0.49,0.74,0.56,0.93,0.71,0.92,0.76,0.43,0.64,0.51,0.88,0.51,0.5,0.87,0.92,0.91,0.58,0.51,0.73,0.97,0.93,0.8,0.55,0.62,0.55,0.56,0.84,0.6,0.5,0.66,0.57,0.64,0.47,0.89,0.5,0.52,0.5,0.96,0.72,0.66,0.96,0.51,0.93,0.89,0.53,0.54,0.66,0.5,0.49,0.54,0.5,0.68,0.5,0.5,0.97,0.59,0.5,0.76,0.54,0.45,0.5,0.5,0.58,0.71,0.93,0.51,0.69,0.52,0.66,0.63
7,0.87,0.81,0.57,0.87,0.95,0.91,0.57,0.51,0.75,0.87,0.87,0.93,0.88,0.82,0.91,0.82,0.92,0.97,0.7,0.5,0.54,0.49,0.93,0.77,0.95,0.87,0.84,0.9,0.97,0.96,0.86,0.88,0.5,0.82,0.5,0.58,0.78,0.75,0.69,0.5,0.88,0.85,0.92,0.54,0.74,0.87,0.92,0.91,0.94,0.86,0.9,0.74,0.84,0.7,0.94,0.75,0.75,0.9,0.74,0.97,0.8,0.5,0.51,0.71,0.91,0.58,0.84,0.68,0.8,0.87,0.83,0.92,0.5,0.93,0.78,0.89,0.86,0.96,0.7,0.91,0.86,0.9,0.89,0.8,0.6,0.88,0.5,0.97,0.51,0.98,0.64,0.69,0.69,0.5,0.7,0.87,0.84,0.89,0.9,0.52
8,0.5,0.5,0.5,0.5,0.5,0.97,0.96,0.5,0.47,0.5,0.5,0.5,0.5,0.5,0.49,0.52,0.5,0.48,0.5,0.54,0.5,0.99,0.5,0.5,0.48,0.5,0.5,0.97,0.5,0.5,0.5,0.98,0.5,0.96,0.5,0.85,0.5,0.5,0.5,0.49,0.95,0.5,0.96,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.48,0.49,0.53,0.51,0.5,0.5,0.5,0.94,0.5,0.51,0.97,0.96,0.48,0.5,0.51,0.5,0.5,0.5,0.5,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.42,0.5,0.5,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.58,0.5,0.5
9,0.88,0.8,0.7,0.8,0.59,0.6,0.58,0.67,0.59,0.85,0.49,0.79,0.75,0.57,0.63,0.81,0.58,0.91,0.62,0.73,0.89,0.91,0.84,0.6,0.72,0.76,0.77,0.66,0.67,0.56,0.57,0.8,0.95,0.81,0.62,0.64,0.85,0.53,0.68,0.82,0.85,0.6,0.75,0.64,0.79,0.67,0.5,0.89,0.67,0.73,0.68,0.69,0.59,0.74,0.82,0.73,0.6,0.72,0.79,0.67,0.68,0.47,0.73,0.72,0.86,0.56,0.66,0.65,0.67,0.65,0.56,0.57,0.52,0.54,0.68,0.49,0.64,0.6,0.68,0.85,0.5,0.77,0.62,0.67,0.69,0.74,0.58,0.53,0.75,0.6,0.6,0.91,0.69,0.83,0.89,0.81,0.64,0.82,0.6,0.54
