0,0.97,0.5,0.5,0.5,0.5,0.72,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.57,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.97,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.94,0.5,0.5,0.5,0.86,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.97,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5
1,0.69,0.77,0.69,0.77,0.94,0.87,0.8,0.93,0.74,0.87,0.85,0.87,0.62,0.49,0.5,0.85,0.92,0.5,0.93,0.68,0.94,0.84,0.85,0.91,0.85,0.77,0.9,0.86,0.67,0.56,0.69,0.58,0.88,0.93,0.5,0.82,0.9,0.71,0.52,0.93,0.94,0.48,0.49,0.5,0.85,0.74,0.63,0.75,0.49,0.86,0.66,0.89,0.62,0.81,0.77,0.75,0.77,0.62,0.5,0.88,0.83,0.98,0.7,0.96,0.9,0.77,0.89,0.5,0.83,0.66,0.98,0.8,0.74,0.76,0.92,0.88,0.71,0.93,0.64,0.73,0.87,0.8,0.59,0.5,0.74,0.93,0.69,0.67,0.87,0.94,0.75,0.81,0.86,0.91,0.74,0.51,0.5,0.83,0.87,0.62
2,0.57,0.9,0.5,0.79,0.48,0.5,0.51,0.5,0.47,0.53,0.89,0.54,0.97,0.54,0.91,0.86,0.62,0.85,0.88,0.71,0.86,0.74,0.91,0.88,0.57,0.67,0.5,0.72,0.5,0.49,0.94,0.5,0.66,0.73,0.88,0.62,0.6,0.71,0.68,0.5,0.8,0.5,0.65,0.51,0.5,0.89,0.86,0.46,0.5,0.77,0.5,0.84,0.89,0.91,0.9,0.93,0.91,0.54,0.96,0.98,0.5,0.72,0.84,0.94,0.69,0.93,0.82,0.7,0.71,0.86,0.51,0.5,0.89,0.9,0.97,0.63,0.72,0.94,0.9,0.7,0.58,0.7,0.5,0.58,0.5,0.93,0.62,0.86,0.5,0.5,0.66,0.62,0.83,0.92,0.49,0.7,0.91,0.5,0.94,0.5
3,0.5,0.5,0.81,0.5,0.83,0.5,0.94,0.81,0.5,0.71,0.96,0.54,0.93,0.93,0.93,0.47,0.87,0.5,0.5,0.8,0.74,0.87,0.93,0.88,0.5,0.5,0.5,0.92,0.5,0.76,0.97,0.96,0.9,0.85,0.91,0.87,0.66,0.77,0.5,0.5,0.55,0.95,0.5,0.6,0.58,0.5,0.5,0.87,0.76,0.72,0.94,0.66,0.82,0.49,0.5,0.95,0.96,0.72,0.78,0.91,0.87,0.55,0.92,0.5,0.54,0.83,0.91,0.94,0.86,0.89,0.46,0.5,0.72,0.69,0.5,0.5,0.8,0.5,0.84,0.76,0.65,0.83,0.89,0.72,0.56,0.54,0.79,0.5,0.93,0.5,0.92,0.63,0.9,0.46,0.5,0.53,0.5,0.57,0.57,0.62
4,0.49,0.44,0.56,0.48,0.5,0.47,0.43,0.45,0.58,0.5,0.49,0.96,0.52,0.5,0.64,0.51,0.5,0.5,0.49,0.48,0.53,0.47,0.52,0.45,0.5,0.49,0.52,0.52,0.47,0.48,0.48,0.5,0.5,0.5,0.51,0.48,0.5,0.98,0.98,0.46,0.48,0.5,0.48,0.98,0.45,0.49,0.5,0.94,0.47,0.42,0.53,0.5,0.5,0.5,0.5,0.99,0.96,0.5,0.5,0.5,0.5,0.52,0.5,0.51,0.5,0.5,0.5,0.99,0.53,0.5,0.5,0.5,0.48,0.96,0.5,0.52,0.45,0.52,0.49,0.45,0.5,0.47,0.5,0.51,0.46,0.5,0.97,0.5,0.5,0.48,0.5,0.53,0.51,0.5,0.48,0.5,0.96,0.53,0.51,0.5
5,0.79,0.79,0.51,0.83,0.5,0.88,0.84,0.85,0.5,0.5,0.86,0.5,0.78,0.47,0.9,0.95,0.91,0.65,0.51,0.84,0.83,0.79,0.69,0.5,0.9,0.92,0.89,0.94,0.73,0.9,0.82,0.54,0.97,0.84,0.85,0.79,0.64,0.9,0.73,0.5,0.73,0.86,0.87,0.84,0.79,0.62,0.92,0.65,0.88,0.74,0.64,0.92,0.87,0.85,0.91,0.67,0.91,0.72,0.67,0.5,0.76,0.9,0.78,0.84,0.86,0.84,0.95,0.91,0.87,0.84,0.95,0.5,0.84,0.93,0.85,0.86,0.5,0.7,0.79,0.95,0.89,0.5,0.94,0.88,0.91,0.77,0.93,0.87,0.99,0.88,0.69,0.95,0.77,0.72,0.88,0.79,0.73,0.86,0.67,0.49
6,0.58,0.54,0.5,0.9,0.5,0.5,0.49,0.9,0.9,0.5,0.93,0.66,0.54,0.53,0.52,0.5,0.5,0.58,0.5,0.85,0.71,0.68,0.54,0.5,0.92,0.56,0.56,0.49,0.49,0.5,0.51,0.57,0.68,0.52,0.63,0.89,0.5,0.57,0.57,0.67,0.69,0.69,0.82,0.83,0.59,0.85,0.55,0.48,0.5,0.64,0.92,0.7,0.64,0.54,0.62,0.58,0.71,0.49,0.51,0.68,0.59,0.54,0.67,0.61,0.71,0.53,0.69,0.49,0.56,0.65,0.8,0.46,0.5,0.61,0.49,0.5,0.52,0.77,0.86,0.78,0.51,0.5,0.93,0.5,0.5,0.62,0.73,0.74,0.57,0.63,0.68,0.89,0.5,0.48,0.5,0.87,0.47,0.57,0.52,0.5
7,0.65,0.51,0.75,0.94,0.81,0.64,0.96,0.5,0.88,0.79,0.83,0.92,0.88,0.84,0.53,0.53,0.9,0.67,0.54,0.89,0.88,0.63,0.92,0.88,0.93,0.88,0.93,0.5,0.5,0.93,0.85,0.98,0.53,0.95,0.5,0.85,0.92,0.52,0.7,0.75,0.86,0.91,0.53,0.88,0.48,0.96,0.7,0.51,0.64,0.39,0.95,0.54,0.59,0.92,0.8,0.5,0.74,0.93,0.49,0.87,0.92,0.45,0.59,0.6,0.93,0.73,0.5,0.91,0.9,0.73,0.74,0.5,0.88,0.84,0.5,0.59,0.63,0.52,0.67,0.89,0.75,0.91,0.85,0.83,0.38,0.84,0.88,0.5,0.41,0.49,0.5,0.76,0.5,0.82,0.5,0.84,0.91,0.66,0.89,0.5
8,0.5,0.5,0.99,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.96,0.5,0.5,0.5,0.5,0.5,0.5,0.66,0.97,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.48,0.5,0.46,0.5,0.99,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.97,0.5,0.99,0.5,0.5,0.5,0.47,0.49,0.98,0.5,0.52,0.5,0.54,0.89,0.5,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.96,0.5,0.48,0.5,0.5,0.41,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,0.57,0.55,0.62,0.66,0.67,0.61,0.61,0.9,0.61,0.71,0.67,0.77,0.93,0.5,0.84,0.65,0.64,0.6,0.72,0.62,0.57,0.61,0.5,0.66,0.71,0.51,0.91,0.55,0.64,0.54,0.94,0.64,0.7,0.67,0.82,0.5,0.88,0.6,0.89,0.94,0.96,0.8,0.72,0.59,0.77,0.79,0.67,0.51,0.85,0.61,0.51,0.64,0.78,0.89,0.85,0.65,0.71,0.59,0.62,0.58,0.62,0.73,0.51,0.6,0.86,0.57,0.79,0.62,0.72,0.82,0.87,0.57,0.68,0.78,0.65,0.8,0.7,0.72,0.51,0.53,0.7,0.76,0.7,0.57,0.62,0.61,0.67,0.68,0.5,0.78,0.87,0.79,0.79,0.94,0.82,0.9,0.66,0.69,0.77,0.61
10,0.93,0.58,0.5,0.5,0.5,0.94,0.88,0.45,0.89,0.69,0.92,0.94,0.98,0.97,0.71,0.77,0.94,0.58,0.98,0.83,0.96,0.5,0.5,0.5,0.83,0.6,0.92,0.76,0.92,0.84,0.9,0.91,0.85,0.99,0.92,0.5,0.56,0.5,0.47,0.84,0.95,0.63,0.5,0.6,0.98,0.74,0.76,0.7,0.99,0.96,0.97,0.84,0.97,0.8,0.5,0.5,0.94,0.64,0.9,0.5,0.49,0.8,0.68,0.91,0.5,0.93,0.98,0.72,0.72,0.86,0.89,0.96,0.89,0.93,0.64,0.76,0.89,0.69,0.55,0.86,0.5,0.92,0.93,0.72,0.79,0.85,0.89,0.5,0.7,0.93,0.94,0.91,0.9,0.97,0.91,0.98,0.77,0.69,0.5,0.95
11,0.5,0.97,0.7,0.91,0.51,0.91,0.65,0.98,0.63,0.52,0.92,0.79,0.78,0.8,0.9,0.91,0.5,0.93,0.74,0.86,0.56,0.82,0.7,0.77,0.8,0.81,0.98,0.9,0.71,0.75,0.58,0.71,0.99,0.5,0.91,0.5,0.92,0.89,0.68,0.83,0.86,0.86,0.5,0.5,0.89,0.73,0.77,0.89,0.86,0.5,0.5,0.64,0.51,0.8,0.91,0.77,0.78,0.94,0.99,0.78,0.91,0.5,0.83,0.8,0.65,0.84,0.86,0.93,0.64,0.93,0.66,0.91,0.46,0.5,0.88,0.87,0.88,0.88,0.5,0.88,0.83,0.8,0.92,0.54,0.52,0.95,0.91,0.52,0.77,0.9,0.5,0.5,0.5,0.5,0.85,0.89,0.89,0.99,0.92,0.5
12,0.5,0.5,0.96,0.51,0.5,0.47,0.5,0.45,0.5,0.47,0.48,0.48,0.5,0.5,0.49,0.5,0.47,0.47,0.5,0.99,0.5,0.51,0.5,0.49,0.48,0.52,0.47,0.94,0.87,0.51,0.5,0.5,0.5,0.46,0.49,0.55,0.49,0.5,0.5,0.47,0.99,0.5,0.54,0.5,0.5,0.5,0.51,0.48,0.5,0.51,0.96,0.54,0.5,0.49,0.44,0.51,0.49,0.5,0.5,0.49,0.5,0.5,0.5,0.47,0.96,0.5,0.51,0.5,0.94,0.5,0.5,0.49,0.5,0.5,0.51,0.5,0.44,0.5,0.5,0.47,0.5,0.5,0.5,0.5,0.54,0.52,0.5,0.48,0.49,0.5,0.51,0.5,0.49,0.53,0.5,0.47,0.45,0.42,0.43,0.5
13,0.64,0.7,0.47,0.48,0.49,0.53,0.92,0.65,0.5,0.62,0.55,0.64,0.52,0.51,0.64,0.8,0.64,0.47,0.68,0.47,0.58,0.76,0.5,0.57,0.57,0.92,0.76,0.5,0.5,0.49,0.65,0.49,0.5,0.8,0.9,0.93,0.76,0.52,0.92,0.44,0.5,0.5,0.88,0.88,0.52,0.54,0.64,0.66,0.5,0.5,0.51,0.67,0.67,0.96,0.96,0.5,0.82,0.97,0.62,0.97,0.43,0.88,0.69,0.61,0.51,0.78,0.87,0.5,0.5,0.5,0.77,0.64,0.5,0.62,0.5,0.65,0.51,0.5,0.62,0.5,0.5,0.66,0.67,0.59,0.98,0.57,0.78,0.94,0.81,0.86,0.94,0.5,0.88,0.67,0.5,0.5,0.5,0.43,0.5,0.47
